(235, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:11:04', '733344.84102312999')
(236, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:11:13', '733344.84112979681')
(237, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:11:22', '733344.84123646317')
(238, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:11:32', '733344.84134308377')
(239, '63.95', '63.95', '65.30', '65.30', 'Wed, 29 Oct 2008 20:11:41', '733344.84144975035')
(240, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:11:50', '733344.84155641671')
(241, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:11:59', '733344.84166308364')
(242, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:12:08', '733344.84176975058')
(243, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:12:18', '733344.84187637048')
(244, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:12:28', '733344.84199488908')
(245, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:12:37', '733344.84210155590')
(246, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:12:46', '733344.84220822260')
(247, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:12:56', '733344.84231485741')
(248, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:13:05', '733344.84242150944')
(249, '63.72', '63.72', '65.07', '65.07', 'Wed, 29 Oct 2008 20:13:14', '733344.84252817626')
(250, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:13:23', '733344.84263484296')
(251, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:13:32', '733344.84274150955')
(252, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:13:42', '733344.84284812969')
(253, '63.95', '63.95', '65.07', '65.07', 'Wed, 29 Oct 2008 20:13:52', '733344.84296664863')
(254, '63.72', '63.72', '65.07', '65.07', 'Wed, 29 Oct 2008 20:14:01', '733344.84307331510')
