Log Date and Time Mon, 03 Nov 2008 20:30:30
Ambient Kiln Date Date2Num

(216, '64.40', '189.43', 'Mon, 03 Nov 2008 13:41:20', '733349.57037581259')
(217, '64.40', '189.43', 'Mon, 03 Nov 2008 13:41:23', '733349.57041043288')
(218, '64.40', '188.74', 'Mon, 03 Nov 2008 13:41:26', '733349.57044525165')
(219, '64.40', '190.13', 'Mon, 03 Nov 2008 13:41:29', '733349.57047987194')
(220, '64.40', '189.43', 'Mon, 03 Nov 2008 13:41:32', '733349.57051469036')
(221, '64.40', '190.13', 'Mon, 03 Nov 2008 13:41:35', '733349.57054931100')
(222, '64.40', '190.13', 'Mon, 03 Nov 2008 13:41:38', '733349.57058412943')
(223, '64.40', '190.13', 'Mon, 03 Nov 2008 13:41:41', '733349.57061875018')
(224, '64.40', '190.81', 'Mon, 03 Nov 2008 13:41:44', '733349.57065356884')
(225, '64.40', '190.13', 'Mon, 03 Nov 2008 13:41:47', '733349.57068818959')
(226, '64.40', '190.81', 'Mon, 03 Nov 2008 13:41:50', '733349.57072299614')
(227, '64.40', '190.81', 'Mon, 03 Nov 2008 13:41:53', '733349.57075762842')
(228, '64.40', '190.81', 'Mon, 03 Nov 2008 13:41:56', '733349.57079243532')
(229, '64.40', '191.50', 'Mon, 03 Nov 2008 13:41:59', '733349.57082706760')
(230, '64.40', '190.81', 'Mon, 03 Nov 2008 13:42:02', '733349.57086187450')
(231, '64.40', '192.20', 'Mon, 03 Nov 2008 13:42:05', '733349.57089650689')
(232, '64.40', '191.50', 'Mon, 03 Nov 2008 13:42:08', '733349.57093131321')
(233, '64.40', '192.20', 'Mon, 03 Nov 2008 13:42:11', '733349.57096594607')
(234, '64.40', '193.59', 'Mon, 03 Nov 2008 13:42:14', '733349.57100075216')
(235, '64.40', '192.20', 'Mon, 03 Nov 2008 13:42:17', '733349.57103538478')
(236, '64.40', '193.59', 'Mon, 03 Nov 2008 13:42:20', '733349.57107019133')
(237, '64.40', '192.88', 'Mon, 03 Nov 2008 13:42:23', '733349.57110482373')
(238, '64.40', '193.59', 'Mon, 03 Nov 2008 13:42:26', '733349.57113963040')
(239, '64.40', '193.59', 'Mon, 03 Nov 2008 13:42:29', '733349.57117426291')
(240, '64.40', '194.27', 'Mon, 03 Nov 2008 13:42:32', '733349.57120906981')
(241, '64.40', '193.59', 'Mon, 03 Nov 2008 13:42:35', '733349.57124370197')
(242, '64.40', '194.27', 'Mon, 03 Nov 2008 13:42:38', '733349.57127850887')
(243, '64.40', '194.27', 'Mon, 03 Nov 2008 13:42:41', '733349.57131314103')
(244, '64.40', '193.59', 'Mon, 03 Nov 2008 13:42:44', '733349.57134794805')
(245, '64.40', '194.27', 'Mon, 03 Nov 2008 13:42:47', '733349.57138256892')
(246, '64.40', '194.27', 'Mon, 03 Nov 2008 13:42:50', '733349.57141738711')
(247, '64.40', '194.97', 'Mon, 03 Nov 2008 13:42:53', '733349.57145219331')
(248, '64.40', '194.27', 'Mon, 03 Nov 2008 13:42:56', '733349.57148682640')
(249, '64.40', '194.97', 'Mon, 03 Nov 2008 13:42:59', '733349.57152163214')
(250, '64.40', '194.97', 'Mon, 03 Nov 2008 13:43:02', '733349.57155626512')
(251, '64.40', '194.97', 'Mon, 03 Nov 2008 13:43:05', '733349.57159107085')
(252, '64.40', '194.97', 'Mon, 03 Nov 2008 13:43:08', '733349.57162570406')
(253, '64.40', '195.66', 'Mon, 03 Nov 2008 13:43:11', '733349.57166051003')
(254, '64.40', '195.66', 'Mon, 03 Nov 2008 13:43:14', '733349.57169514324')
(255, '64.40', '194.97', 'Mon, 03 Nov 2008 13:43:17', '733349.57172994933')
(256, '64.40', '195.66', 'Mon, 03 Nov 2008 13:43:20', '733349.57176458242')
(257, '64.40', '195.66', 'Mon, 03 Nov 2008 13:43:23', '733349.57179938816')
(258, '64.40', '195.66', 'Mon, 03 Nov 2008 13:43:26', '733349.57183402160')
(259, '64.40', '196.36', 'Mon, 03 Nov 2008 13:43:29', '733349.57186882745')
(260, '64.40', '196.36', 'Mon, 03 Nov 2008 13:43:32', '733349.57190346066')
(261, '64.40', '197.04', 'Mon, 03 Nov 2008 13:43:35', '733349.57193826651')
(262, '64.40', '196.36', 'Mon, 03 Nov 2008 13:43:38', '733349.57197289984')
(263, '64.40', '197.73', 'Mon, 03 Nov 2008 13:43:41', '733349.57200770581')
(264, '64.40', '196.36', 'Mon, 03 Nov 2008 13:43:44', '733349.57204233902')
(265, '64.40', '197.73', 'Mon, 03 Nov 2008 13:43:47', '733349.57207714440')
(266, '64.40', '197.73', 'Mon, 03 Nov 2008 13:43:50', '733349.57211176609')
(267, '64.40', '197.73', 'Mon, 03 Nov 2008 13:43:53', '733349.57214658346')
(268, '64.40', '197.73', 'Mon, 03 Nov 2008 13:43:56', '733349.57218120515')
(269, '64.40', '198.43', 'Mon, 03 Nov 2008 13:43:59', '733349.57221602264')
(270, '64.40', '199.11', 'Mon, 03 Nov 2008 13:44:02', '733349.57225064444')
(271, '64.40', '198.43', 'Mon, 03 Nov 2008 13:44:05', '733349.57228546182')
(272, '64.40', '199.11', 'Mon, 03 Nov 2008 13:44:08', '733349.57232008339')
(273, '64.40', '199.11', 'Mon, 03 Nov 2008 13:44:11', '733349.57235490088')
(274, '64.40', '199.81', 'Mon, 03 Nov 2008 13:44:14', '733349.57238952268')
(275, '64.40', '199.81', 'Mon, 03 Nov 2008 13:44:17', '733349.57242434029')
(276, '64.40', '199.81', 'Mon, 03 Nov 2008 13:44:20', '733349.57245896175')
(277, '64.40', '199.81', 'Mon, 03 Nov 2008 13:44:23', '733349.57249377912')
(278, '64.40', '200.50', 'Mon, 03 Nov 2008 13:44:26', '733349.57252840104')
(279, '64.40', '200.50', 'Mon, 03 Nov 2008 13:44:29', '733349.57256321842')
(280, '64.40', '200.50', 'Mon, 03 Nov 2008 13:44:32', '733349.57259802474')
(281, '64.40', '201.20', 'Mon, 03 Nov 2008 13:44:35', '733349.57263265760')
(282, '64.40', '201.20', 'Mon, 03 Nov 2008 13:44:38', '733349.57266746368')
(283, '64.40', '201.20', 'Mon, 03 Nov 2008 13:44:41', '733349.57270209619')
(284, '64.40', '201.20', 'Mon, 03 Nov 2008 13:44:44', '733349.57273690298')
(285, '64.40', '201.20', 'Mon, 03 Nov 2008 13:44:47', '733349.57277153537')
(286, '64.40', '201.20', 'Mon, 03 Nov 2008 13:44:50', '733349.57280634192')
