Log Date and Time Thu, 07 Aug 2008 19:15:03
Ambient Kiln Date Date2Num

(167, '85.77', '144.39', 'Wed, 06 Aug 2008 17:33:27', '733260.73157255247')
(168, '85.77', '144.39', 'Wed, 06 Aug 2008 17:33:30', '733260.73160717380')
(169, '85.77', '144.39', 'Wed, 06 Aug 2008 17:33:33', '733260.73164199153')
(170, '85.77', '144.39', 'Wed, 06 Aug 2008 17:33:36', '733260.73167661240')
(171, '85.77', '144.39', 'Wed, 06 Aug 2008 17:33:39', '733260.73171143071')
(172, '85.77', '145.08', 'Wed, 06 Aug 2008 17:33:42', '733260.73174605146')
(173, '85.77', '145.08', 'Wed, 06 Aug 2008 17:33:45', '733260.73178087000')
(174, '85.77', '145.76', 'Wed, 06 Aug 2008 17:33:48', '733260.73181549064')
(175, '85.77', '145.76', 'Wed, 06 Aug 2008 17:33:51', '733260.73185030883')
(176, '85.77', '145.76', 'Wed, 06 Aug 2008 17:33:54', '733260.73188492970')
(177, '85.77', '146.44', 'Wed, 06 Aug 2008 17:33:57', '733260.73191974813')
(178, '85.77', '146.44', 'Wed, 06 Aug 2008 17:34:00', '733260.73195436900')
(179, '85.77', '147.15', 'Wed, 06 Aug 2008 17:34:03', '733260.73198918730')
(180, '85.77', '147.15', 'Wed, 06 Aug 2008 17:34:06', '733260.73202380806')
(181, '85.77', '147.15', 'Wed, 06 Aug 2008 17:34:09', '733260.73205862660')
(182, '85.77', '147.83', 'Wed, 06 Aug 2008 17:34:12', '733260.73209324677')
(183, '85.77', '147.83', 'Wed, 06 Aug 2008 17:34:15', '733260.73212805390')
(184, '85.77', '147.83', 'Wed, 06 Aug 2008 17:34:18', '733260.73216268583')
(185, '85.77', '148.51', 'Wed, 06 Aug 2008 17:34:21', '733260.73219749262')
(186, '85.77', '149.22', 'Wed, 06 Aug 2008 17:34:24', '733260.73223212501')
(187, '85.77', '149.22', 'Wed, 06 Aug 2008 17:34:27', '733260.73226693168')
(188, '85.77', '149.22', 'Wed, 06 Aug 2008 17:34:30', '733260.73230156465')
(189, '85.77', '149.22', 'Wed, 06 Aug 2008 17:34:33', '733260.73233637086')
(190, '85.77', '149.22', 'Wed, 06 Aug 2008 17:34:36', '733260.73237100348')
(191, '85.77', '149.90', 'Wed, 06 Aug 2008 17:34:39', '733260.73240581015')
(192, '85.77', '149.90', 'Wed, 06 Aug 2008 17:34:42', '733260.73244044243')
(193, '85.77', '149.90', 'Wed, 06 Aug 2008 17:34:45', '733260.73247524910')
(194, '85.77', '149.90', 'Wed, 06 Aug 2008 17:34:48', '733260.73250988161')
(195, '85.77', '150.58', 'Wed, 06 Aug 2008 17:34:51', '733260.73254468816')
(196, '85.77', '150.58', 'Wed, 06 Aug 2008 17:34:54', '733260.73257950589')
(197, '85.77', '151.27', 'Wed, 06 Aug 2008 17:34:57', '733260.73261412710')
(198, '85.77', '151.27', 'Wed, 06 Aug 2008 17:35:00', '733260.73264894495')
(199, '85.77', '151.27', 'Wed, 06 Aug 2008 17:35:03', '733260.73268356617')
(200, '85.77', '151.97', 'Wed, 06 Aug 2008 17:35:06', '733260.73271838436')
(201, '85.77', '151.97', 'Wed, 06 Aug 2008 17:35:09', '733260.73275300546')
(202, '85.77', '151.97', 'Wed, 06 Aug 2008 17:35:12', '733260.73278782284')
(203, '85.77', '152.65', 'Wed, 06 Aug 2008 17:35:15', '733260.73282244429')
(204, '85.77', '152.65', 'Wed, 06 Aug 2008 17:35:18', '733260.73285726178')
(205, '85.77', '152.65', 'Wed, 06 Aug 2008 17:35:21', '733260.73289188347')
(206, '85.77', '153.34', 'Wed, 06 Aug 2008 17:35:24', '733260.73292669014')
(207, '85.77', '153.34', 'Wed, 06 Aug 2008 17:35:27', '733260.73296132265')
(208, '85.77', '153.34', 'Wed, 06 Aug 2008 17:35:30', '733260.73299612862')
(209, '85.77', '154.04', 'Wed, 06 Aug 2008 17:35:33', '733260.73303076171')
(210, '85.77', '154.04', 'Wed, 06 Aug 2008 17:35:36', '733260.73306556791')
(211, '85.77', '154.04', 'Wed, 06 Aug 2008 17:35:39', '733260.73310020100')
(212, '85.77', '154.04', 'Wed, 06 Aug 2008 17:35:42', '733260.73313500709')
(213, '85.77', '154.04', 'Wed, 06 Aug 2008 17:35:45', '733260.73316964030')
(214, '85.77', '155.41', 'Wed, 06 Aug 2008 17:35:48', '733260.73320444569')
(215, '85.77', '155.41', 'Wed, 06 Aug 2008 17:35:51', '733260.73323926388')
(216, '85.77', '155.41', 'Wed, 06 Aug 2008 17:35:54', '733260.73327388498')
(217, '85.77', '155.41', 'Wed, 06 Aug 2008 17:35:57', '733260.73330870306')
(218, '85.77', '155.41', 'Wed, 06 Aug 2008 17:36:00', '733260.73334332404')
(219, '85.77', '156.79', 'Wed, 06 Aug 2008 17:36:03', '733260.73337814212')
(220, '85.77', '156.11', 'Wed, 06 Aug 2008 17:36:06', '733260.73341276322')
(221, '85.77', '156.11', 'Wed, 06 Aug 2008 17:36:09', '733260.73344758153')
(222, '85.77', '156.79', 'Wed, 06 Aug 2008 17:36:12', '733260.73348220217')
(223, '85.77', '157.48', 'Wed, 06 Aug 2008 17:36:15', '733260.73351702036')
(224, '85.77', '157.48', 'Wed, 06 Aug 2008 17:36:18', '733260.73355164134')
(225, '85.77', '157.48', 'Wed, 06 Aug 2008 17:36:21', '733260.73358645954')
(226, '85.77', '157.48', 'Wed, 06 Aug 2008 17:36:24', '733260.73362108064')
(227, '85.77', '157.48', 'Wed, 06 Aug 2008 17:36:27', '733260.73365588719')
(228, '85.77', '158.16', 'Wed, 06 Aug 2008 17:36:30', '733260.73369051970')
(229, '85.77', '158.86', 'Wed, 06 Aug 2008 17:36:33', '733260.73372532625')
(230, '85.77', '158.16', 'Wed, 06 Aug 2008 17:36:36', '733260.73375995853')
(231, '85.77', '158.86', 'Wed, 06 Aug 2008 17:36:39', '733260.73379476555')
(232, '85.77', '159.55', 'Wed, 06 Aug 2008 17:36:42', '733260.73382939736')
(233, '85.77', '159.55', 'Wed, 06 Aug 2008 17:36:45', '733260.73386420414')
(234, '85.77', '159.55', 'Wed, 06 Aug 2008 17:36:48', '733260.73389883654')
(235, '85.77', '160.23', 'Wed, 06 Aug 2008 17:36:51', '733260.73393364309')
(236, '85.77', '160.23', 'Wed, 06 Aug 2008 17:36:54', '733260.73396827583')
(237, '85.77', '160.23', 'Wed, 06 Aug 2008 17:36:57', '733260.73400308238')
(238, '85.77', '160.93', 'Wed, 06 Aug 2008 17:37:00', '733260.73403771489')
(239, '85.77', '160.93', 'Wed, 06 Aug 2008 17:37:03', '733260.73407252156')
(240, '85.77', '160.93', 'Wed, 06 Aug 2008 17:37:06', '733260.73410715419')
(241, '85.77', '160.93', 'Wed, 06 Aug 2008 17:37:09', '733260.73414196086')
(242, '85.77', '161.62', 'Wed, 06 Aug 2008 17:37:12', '733260.73417659313')
(243, '85.77', '161.62', 'Wed, 06 Aug 2008 17:37:15', '733260.73421139969')
(244, '85.77', '161.62', 'Wed, 06 Aug 2008 17:37:18', '733260.73424621753')
(245, '85.77', '162.32', 'Wed, 06 Aug 2008 17:37:21', '733260.73428083875')
(246, '85.77', '162.32', 'Wed, 06 Aug 2008 17:37:24', '733260.73431565671')
(247, '85.77', '163.00', 'Wed, 06 Aug 2008 17:37:27', '733260.73435027769')
