Log Date and Time Thu, 20 Mar 2008 16:41:50
Ambient Kiln Date Date2Num

(265, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:12', '733121.66993409733')
(266, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:15', '733121.66996889585')
(267, '71.37', '115.45', 'Thu, 20 Mar 2008 16:02:18', '733121.67000370740')
(268, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:21', '733121.67003831721')
(269, '71.37', '114.98', 'Thu, 20 Mar 2008 16:02:24', '733121.67007312609')
(270, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:27', '733121.67010792391')
(271, '71.37', '114.98', 'Thu, 20 Mar 2008 16:02:30', '733121.67014273233')
(272, '71.37', '114.98', 'Thu, 20 Mar 2008 16:02:33', '733121.67017753120')
(273, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:36', '733121.67021256639')
(274, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:39', '733121.67024713755')
(275, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:42', '733121.67028174968')
(276, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:45', '733121.67031656008')
(277, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:48', '733121.67035135650')
(278, '71.37', '114.98', 'Thu, 20 Mar 2008 16:02:51', '733121.67038616654')
(279, '71.37', '115.66', 'Thu, 20 Mar 2008 16:02:54', '733121.67042096332')
(280, '71.15', '115.66', 'Thu, 20 Mar 2008 16:02:57', '733121.67045577371')
(281, '71.15', '115.66', 'Thu, 20 Mar 2008 16:03:00', '733121.67049038492')
(282, '71.37', '116.35', 'Thu, 20 Mar 2008 16:03:03', '733121.67052519449')
(283, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:06', '733121.67055999185')
(284, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:09', '733121.67059480108')
(285, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:12', '733121.67062959913')
(286, '71.37', '114.98', 'Thu, 20 Mar 2008 16:03:15', '733121.67066421208')
(287, '71.37', '114.98', 'Thu, 20 Mar 2008 16:03:18', '733121.67069901933')
(288, '71.37', '114.98', 'Thu, 20 Mar 2008 16:03:21', '733121.67073381878')
(289, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:24', '733121.67076862697')
(290, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:27', '733121.67080343259')
(291, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:30', '733121.67083823355')
(292, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:33', '733121.67087284732')
(293, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:36', '733121.67090765887')
(294, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:39', '733121.67094245227')
(295, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:42', '733121.67097726162')
(296, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:45', '733121.67101187864')
(297, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:48', '733121.67104668310')
(298, '71.37', '115.45', 'Thu, 20 Mar 2008 16:03:51', '733121.67108148220')
(299, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:54', '733121.67111831659')
(300, '71.37', '115.66', 'Thu, 20 Mar 2008 16:03:57', '733121.67115312500')
(301, '71.37', '115.66', 'Thu, 20 Mar 2008 16:04:00', '733121.67118774785')
(302, '71.37', '115.66', 'Thu, 20 Mar 2008 16:04:03', '733121.67122254753')
(303, '71.37', '115.66', 'Thu, 20 Mar 2008 16:04:06', '733121.67125715828')
(304, '71.37', '115.66', 'Thu, 20 Mar 2008 16:04:09', '733121.67129196809')
(305, '71.37', '115.66', 'Thu, 20 Mar 2008 16:04:12', '733121.67132676591')
