Log Date and Time Fri, 07 Nov 2008 08:26:51
Ambient Kiln Date Date2Num

(249, '64.40', '135.61', 'Thu, 06 Nov 2008 08:33:52', '733352.35685746581')
(250, '64.40', '136.29', 'Thu, 06 Nov 2008 08:33:55', '733352.35689225444')
(251, '64.40', '136.29', 'Thu, 06 Nov 2008 08:33:58', '733352.35692705540')
(252, '64.40', '137.68', 'Thu, 06 Nov 2008 08:34:01', '733352.35696165846')
(253, '64.40', '136.98', 'Thu, 06 Nov 2008 08:34:04', '733352.35699646047')
(254, '64.62', '138.58', 'Thu, 06 Nov 2008 08:34:07', '733352.35703124828')
(255, '64.40', '138.36', 'Thu, 06 Nov 2008 08:34:10', '733352.35706586402')
(256, '64.40', '138.36', 'Thu, 06 Nov 2008 08:34:13', '733352.35710065218')
(257, '64.40', '139.73', 'Thu, 06 Nov 2008 08:34:16', '733352.35713545338')
(258, '64.40', '139.05', 'Thu, 06 Nov 2008 08:34:19', '733352.35717005655')
(259, '64.40', '140.43', 'Thu, 06 Nov 2008 08:34:22', '733352.35720485798')
(260, '64.40', '140.43', 'Thu, 06 Nov 2008 08:34:25', '733352.35723946174')
(261, '64.40', '140.43', 'Thu, 06 Nov 2008 08:34:28', '733352.35727425048')
(262, '64.40', '141.80', 'Thu, 06 Nov 2008 08:34:31', '733352.35730905097')
(263, '64.40', '141.12', 'Thu, 06 Nov 2008 08:34:34', '733352.35734365473')
(264, '64.40', '142.48', 'Thu, 06 Nov 2008 08:34:37', '733352.35737845534')
(265, '64.40', '142.48', 'Thu, 06 Nov 2008 08:34:40', '733352.35741324478')
(266, '64.40', '143.19', 'Thu, 06 Nov 2008 08:34:43', '733352.35744785960')
(267, '64.40', '143.87', 'Thu, 06 Nov 2008 08:34:46', '733352.35748264904')
(268, '64.62', '143.40', 'Thu, 06 Nov 2008 08:34:49', '733352.35751726374')
(269, '64.40', '143.87', 'Thu, 06 Nov 2008 08:34:52', '733352.35755205387')
(270, '64.40', '144.55', 'Thu, 06 Nov 2008 08:34:55', '733352.35758685321')
(271, '64.40', '145.24', 'Thu, 06 Nov 2008 08:34:58', '733352.35762145766')
(272, '64.40', '144.55', 'Thu, 06 Nov 2008 08:35:01', '733352.35765625723')
(273, '64.40', '145.94', 'Thu, 06 Nov 2008 08:35:04', '733352.35769086191')
(274, '64.62', '146.84', 'Thu, 06 Nov 2008 08:35:07', '733352.35772566253')
(275, '64.40', '146.62', 'Thu, 06 Nov 2008 08:35:10', '733352.35776045115')
(276, '64.40', '147.31', 'Thu, 06 Nov 2008 08:35:13', '733352.35779506678')
(277, '64.40', '146.62', 'Thu, 06 Nov 2008 08:35:16', '733352.35782985552')
(278, '64.40', '148.01', 'Thu, 06 Nov 2008 08:35:19', '733352.35786447080')
(279, '64.40', '148.01', 'Thu, 06 Nov 2008 08:35:22', '733352.35789926024')
(280, '64.40', '148.01', 'Thu, 06 Nov 2008 08:35:25', '733352.35793404875')
(281, '64.62', '148.21', 'Thu, 06 Nov 2008 08:35:28', '733352.35796866415')
(282, '64.40', '149.38', 'Thu, 06 Nov 2008 08:35:31', '733352.35800345312')
(283, '64.40', '150.76', 'Thu, 06 Nov 2008 08:35:34', '733352.35803825362')
(284, '64.40', '150.76', 'Thu, 06 Nov 2008 08:35:37', '733352.35807285737')
(285, '64.40', '151.45', 'Thu, 06 Nov 2008 08:35:40', '733352.35810765869')
(286, '64.40', '151.45', 'Thu, 06 Nov 2008 08:35:43', '733352.35814244673')
(287, '64.40', '151.45', 'Thu, 06 Nov 2008 08:35:46', '733352.35817706271')
(288, '64.40', '152.83', 'Thu, 06 Nov 2008 08:35:49', '733352.35821185098')
(289, '64.40', '152.13', 'Thu, 06 Nov 2008 08:35:52', '733352.35824646731')
(290, '64.40', '153.52', 'Thu, 06 Nov 2008 08:35:55', '733352.35828125547')
(291, '64.40', '153.52', 'Thu, 06 Nov 2008 08:35:58', '733352.35831605655')
(292, '64.40', '153.52', 'Thu, 06 Nov 2008 08:36:01', '733352.35835065960')
(293, '64.40', '154.20', 'Thu, 06 Nov 2008 08:36:04', '733352.35838546080')
(294, '64.40', '154.90', 'Thu, 06 Nov 2008 08:36:07', '733352.35842024989')
(295, '64.40', '154.90', 'Thu, 06 Nov 2008 08:36:10', '733352.35845505004')
(296, '64.40', '154.90', 'Thu, 06 Nov 2008 08:36:13', '733352.35848965368')
