Log Date and Time Mon, 19 May 2008 23:23:20
Ambient Kiln Date Date2Num

(171, '78.80', '222.46', 'Mon, 19 May 2008 08:30:42', '733181.35465464171')
(172, '78.57', '222.93', 'Mon, 19 May 2008 08:30:45', '733181.35468944197')
(173, '78.80', '223.16', 'Mon, 19 May 2008 08:30:48', '733181.35472404677')
(174, '78.80', '222.46', 'Mon, 19 May 2008 08:30:51', '733181.35475884669')
(175, '78.57', '222.93', 'Mon, 19 May 2008 08:30:54', '733181.35479345114')
(176, '78.80', '223.16', 'Mon, 19 May 2008 08:30:57', '733181.35482825059')
(177, '78.80', '223.84', 'Mon, 19 May 2008 08:31:00', '733181.35486304061')
(178, '78.80', '223.16', 'Mon, 19 May 2008 08:31:03', '733181.35489765496')
(179, '78.80', '223.84', 'Mon, 19 May 2008 08:31:06', '733181.35493244499')
(180, '78.80', '223.84', 'Mon, 19 May 2008 08:31:09', '733181.35496760427')
(181, '78.80', '223.84', 'Mon, 19 May 2008 08:31:12', '733181.35500184889')
(182, '78.80', '223.84', 'Mon, 19 May 2008 08:31:15', '733181.35503663775')
(183, '78.80', '223.84', 'Mon, 19 May 2008 08:31:18', '733181.35507125326')
(184, '78.80', '223.84', 'Mon, 19 May 2008 08:31:21', '733181.35510604235')
(185, '78.80', '223.84', 'Mon, 19 May 2008 08:31:24', '733181.35514084273')
(186, '78.80', '224.55', 'Mon, 19 May 2008 08:31:27', '733181.35517544625')
(187, '78.80', '224.55', 'Mon, 19 May 2008 08:31:30', '733181.35521024698')
(188, '78.80', '224.55', 'Mon, 19 May 2008 08:31:33', '733181.35524503549')
(189, '78.80', '224.55', 'Mon, 19 May 2008 08:31:36', '733181.35527965229')
(190, '78.80', '224.55', 'Mon, 19 May 2008 08:31:39', '733181.35531444021')
(191, '78.80', '224.55', 'Mon, 19 May 2008 08:31:42', '733181.35534905631')
(192, '78.80', '225.23', 'Mon, 19 May 2008 08:31:45', '733181.35538384446')
(193, '78.80', '224.55', 'Mon, 19 May 2008 08:31:48', '733181.35541864554')
(194, '78.80', '225.23', 'Mon, 19 May 2008 08:31:51', '733181.35545324883')
(195, '78.80', '225.23', 'Mon, 19 May 2008 08:31:54', '733181.35548805003')
(196, '78.80', '225.23', 'Mon, 19 May 2008 08:31:57', '733181.35552283784')
(197, '78.80', '225.23', 'Mon, 19 May 2008 08:32:00', '733181.35555744276')
(198, '79.02', '225.45', 'Mon, 19 May 2008 08:32:03', '733181.35559224291')
(199, '79.02', '225.45', 'Mon, 19 May 2008 08:32:06', '733181.35562684713')
(200, '78.80', '225.23', 'Mon, 19 May 2008 08:32:09', '733181.35566164739')
(201, '78.80', '225.93', 'Mon, 19 May 2008 08:32:12', '733181.35569643625')
